Designator,Mid X,Mid Y,Layer,Rotation
C403,43.800000mm,38.888863mm,Top,90.000000
C404,67.000000mm,24.988863mm,Top,90.000000
C405,55.800000mm,19.788863mm,Top,0.000000
C504,22.000000mm,17.038863mm,Top,90.000000
C505,21.250000mm,21.288863mm,Top,0.000000
C506,16.250000mm,20.038863mm,Top,180.000000
C513,84.900000mm,6.988863mm,Top,-90.000000
C523,81.800000mm,6.988863mm,Top,-90.000000
C532,18.800000mm,15.788863mm,Top,180.000000
D101,23.400000mm,8.788863mm,Top,180.000000
D103,37.500000mm,3.788863mm,Top,180.000000
D104,41.000000mm,9.488863mm,Top,90.000000
D105,27.000000mm,-2.711137mm,Top,180.000000
D401,30.000000mm,31.788863mm,Top,0.000000
D502,18.500000mm,30.538863mm,Top,180.000000
D511,86.900000mm,6.188863mm,Top,90.000000
D512,84.000000mm,3.288863mm,Top,-90.000000
D521,79.500000mm,6.188863mm,Top,90.000000
D522,81.800000mm,3.288863mm,Top,-90.000000
D601,17.000000mm,38.288863mm,Top,0.000000
D602,20.000000mm,38.288863mm,Top,0.000000
D603,23.000000mm,38.288863mm,Top,0.000000
D604,26.000000mm,38.288863mm,Top,0.000000
D605,29.000000mm,38.288863mm,Top,0.000000
D606,32.000000mm,38.288863mm,Top,0.000000
F1,8.300000mm,17.788863mm,Top,90.000000
J202,6.000000mm,2.788863mm,Top,90.000000
J203,13.000000mm,2.788863mm,Top,90.000000
L121,59.800000mm,12.238863mm,Top,90.000000
Q101,33.299999mm,12.288863mm,Top,180.000000
Q152,46.000000mm,-2.711137mm,Top,0.000000
Q153,50.000000mm,-2.711137mm,Top,0.000000
R109,34.200000mm,18.288863mm,Top,90.000000
R110,31.400000mm,24.888864mm,Top,90.000000
R111,26.000000mm,3.288863mm,Top,0.000000
R121,44.000000mm,10.488863mm,Top,90.000000
R122,49.400000mm,8.288863mm,Top,180.000000
R123,49.400000mm,10.588863mm,Top,0.000000
R124,52.000000mm,12.588863mm,Top,-90.000000
R125,44.300000mm,6.288863mm,Top,90.000000
R126,46.800000mm,4.488863mm,Top,90.000000
R127,46.800000mm,9.988863mm,Top,90.000000
R128,68.000000mm,3.288863mm,Top,0.000000
R157,35.900000mm,27.588863mm,Top,0.000000
R159,46.000000mm,42.788863mm,Top,0.000000
R160,27.000000mm,48.788863mm,Top,0.000000
R161,30.500000mm,48.788863mm,Top,0.000000
R162,27.000000mm,45.288863mm,Top,0.000000
R163,30.500000mm,45.288863mm,Top,0.000000
R164,48.000000mm,-6.911137mm,Top,0.000000
R165,39.500000mm,-2.711137mm,Top,0.000000
R166,35.000000mm,48.788863mm,Top,0.000000
R167,39.000000mm,48.788863mm,Top,0.000000
R201,79.500000mm,29.588863mm,Top,0.000000
R202,70.000000mm,6.688863mm,Top,0.000000
R401,36.500000mm,31.088863mm,Top,0.000000
R402,73.500000mm,29.488863mm,Top,0.000000
R403,76.500000mm,29.488863mm,Top,0.000000
R404,55.500000mm,21.688863mm,Top,180.000000
R405,28.000000mm,29.088863mm,Top,90.000000
R507,17.500000mm,25.788863mm,Top,180.000000
R601,17.000000mm,35.288863mm,Top,90.000000
R602,20.000000mm,35.288863mm,Top,90.000000
R603,23.000000mm,35.288863mm,Top,90.000000
R604,26.000000mm,35.288863mm,Top,90.000000
R605,29.000000mm,35.288863mm,Top,90.000000
R606,32.000000mm,35.288863mm,Top,90.000000
U121,47.000000mm,14.788863mm,Top,0.000000
U201,81.504766mm,18.288863mm,Top,-90.000000
U402,65.300000mm,21.688863mm,Top,0.000000
U403,39.000000mm,35.288863mm,Top,0.000000
U404,60.000000mm,21.688863mm,Top,180.000000
